IZ_MMS	NZ_MMS	OCLC	BIB_LEVEL	DOC	TAG	IND	FIELD
990294603440306576	9910637675906561	9152868	s	 	590	  	$a Author index, 1828-1850 available in An index to the annuals Ref/Micr/Shaw Z2013 .B65 v.1. $5 FTaSU $9 LOCAL
990294606990306576	9910637718706561	05724426	m	 	490	0 	$a Its Publication, $v no. 40-42 $5 FTaSU
990294606990306576	9910637718706561	05724426	m	 	505	0 	$a t.1. Evaporation.--t.2. Eaux souterraines.--t.3. Crues. $5 FTaSU
990294607380306576	9910637760006561	05724461	m	 	490	0 	$a International Association of Scientific Hydrology. Publication $v no. 58 $5 FTaSU
990294607380306576	9910637760006561	05724461	m	 	500	  	$a At head of title: International Union of Geodesy and Geophysics, International Association of Scientific Hydrology, Commission of Snow and Ice. $5 FTaSU
990294607380306576	9910637760006561	05724461	m	 	500	  	$a English of French, with abstracts in English and French. $5 FTaSU
990294608200306576	9910637706706561	05724635	m	 	490	0 	$a Its Publication $v no. 47 $5 FTaSU
990294608200306576	9910637706706561	05724635	m	 	500	  	$a At head of title: International Union of Geodesy and Geophysics. $5 FTaSU
990294608200306576	9910637706706561	05724635	m	 	500	  	$a French or English. $5 FTaSU
990294608750306576	9910637749806561	05724898	m	 	490	0 	$a Testi e commenti - Texts and commentaries ; 3 $5 FTaSU
990294608750306576	9910637749806561	05724898	m	 	500	  	$a Text in Greek. $5 FTaSU
990294608750306576	9910637749806561	05724898	m	 	500	  	$a Includes indexes. $5 FTaSU
990294611680306576	9910855540206561	11309842	m	 	590	  	$a B12 in Berkeley Slavic catalog. $5 FTaSU $9 LOCAL
990294612020306576	9910855558806561	41970944	m	 	590	  	$a B19 in Berkeley Slavic catalog. $5 FTaSU $9 LOCAL
990294612660306576	9910855539506561	11709129	m	 	590	  	$a B25 (1-2) in Berkeley Slavic catalog (Box 76) $5 FTaSU $9 LOCAL
990294613700306576	9910855531306561	9935164	m	f	590	  	$a B37 in Berkeley Slavic catalog. $5 FTaSU $9 LOCAL
990294621120306576	9910855544006561	7167805	m	 	590	  	$a B107 in Berkeley Slavic catalog. $5 FTaSU $9 LOCAL
